Nazwa zmiennej	Etykieta zmiennej	Etykieta zmiennej.1	Katalog	Katalog.1	Grupa zmiennych	Grupa zmiennych w innym języku	Ukryta	Waga (0/1)	Długość roku	Atrybuty (n)	atrybut pisma	atrybut wskaźnika	atrybut wskaźnika slcwwr	atrybut wskaźnika slcwwc	atrybut wartości wskaźnika	Grupa zakresu danych	Archiwum
ID_PBC	ID_PBC	ID_PBC			0	0	1	0	0	continuous	0	0	0	0	0	identyfikacja respondenta	nigdy_archiwum
WAGAOSOB	Waga populacyjna (PBC)	Waga populacyjna (PBC)			0	0	1	1	0	continuous	0	0	0	0	0	waga	nigdy_archiwum
PLEC	RS: Płeć	RS: Płeć	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
WIEK	RS: Wiek w latach	RS: Wiek w latach	Respondent	Respondent	0	0	0	0	0	continuous	0	0	0	0	0	dane metryczkowe	0
WIEKCO5	RS: Kategoria wieku (przedziały 5-letnie)	RS: Kategoria wieku (przedziały 5-letnie)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
AGE	RS: Kategoria wieku (5 kategorii)	RS: Kategoria wieku (5 kategorii)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
PLECWIEK	RS: Płeć i kategoria wieku	RS: Płeć i kategoria wieku	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
STANCYW	RS: Stan cywilny	RS: Stan cywilny	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	zawsze_archiwum
EDUK12	RS: Wykształcenie (12 poziomów)	RS: Wykształcenie (12 poziomów)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	zawsze_archiwum
EDUK13	RS: Wykształcenia (13 poziomów)	RS: Wykształcenia (13 poziomów)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
EDUK	RS: Wykształcenie (9 poziomów)	RS: Wykształcenie (9 poziomów)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
EDUK4	RS: Wykształcenie (4 poziomy)	RS: Wykształcenie (4 poziomy)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
UCZYSIE	Czy obecnie się uczy	Czy obecnie się uczy	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
SZKOLA	W jakiej szkole uczy się obecnie	W jakiej szkole uczy się obecnie	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	zawsze_archiwum
EDUKM14R	Wykształcenie matki	Wykształcenie matki	Respondent/Wykształcenie rodziców	Respondent/Wykształcenie rodziców	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	zawsze_archiwum
EDUKO14R	Wykształcenie ojca	Wykształcenie ojca	Respondent/Wykształcenie rodziców	Respondent/Wykształcenie rodziców	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	zawsze_archiwum
SYTZAW	Aktualna sytuacja zawodowa respondenta	Aktualna sytuacja zawodowa respondenta	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	zawsze_archiwum
SYTZAW9	Aktualna sytuacja zawodowa respondenta (9 kategorii)	Aktualna sytuacja zawodowa respondenta (9 kategorii)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
SYTZAW12	Aktualna sytuacja zawodowa respondenta (12 kategorii)	Aktualna sytuacja zawodowa respondenta (12 kategorii)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
SYTPRCP	Praca w pełnym wymiarze godzin	Praca w pełnym wymiarze godzin	Respondent/Sytuacja zawodowa: wymiar godzin	Respondent/Sytuacja zawodowa: wymiar godzin	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	0
SYTPRCN	Praca w niepełnym wymiarze godzin	Praca w niepełnym wymiarze godzin	Respondent/Sytuacja zawodowa: wymiar godzin	Respondent/Sytuacja zawodowa: wymiar godzin	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	0
SYTNPRC	Obecnie nie pracuje	Obecnie nie pracuje	Respondent/Sytuacja zawodowa: wymiar godzin	Respondent/Sytuacja zawodowa: wymiar godzin	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	0
M5_1	Ma stałą pracę	Ma stałą pracę	Respondent/RS: Sytuacja zawodowa	Respondent/RS: Sytuacja zawodowa	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	0
M5_2	Pracuje dorywczo	Pracuje dorywczo	Respondent/RS: Sytuacja zawodowa	Respondent/RS: Sytuacja zawodowa	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	0
M5_3	Bezrobotny	Bezrobotny	Respondent/RS: Sytuacja zawodowa	Respondent/RS: Sytuacja zawodowa	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	0
M5_4	Nie pracuje - zajmuje się domem	Nie pracuje - zajmuje się domem	Respondent/RS: Sytuacja zawodowa	Respondent/RS: Sytuacja zawodowa	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	0
M5_5	Uczy się/studiuje	Uczy się/studiuje	Respondent/RS: Sytuacja zawodowa	Respondent/RS: Sytuacja zawodowa	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	0
M5_6	Emeryt/rencista	Emeryt/rencista	Respondent/RS: Sytuacja zawodowa	Respondent/RS: Sytuacja zawodowa	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	0
PRAC	RS: Czy kiedykolwiek pracował przez rok lub dłużej?	RS: Czy kiedykolwiek pracował przez rok lub dłużej?	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
PRAC6	RS: Czy kiedykolwiek pracował?	RS: Czy kiedykolwiek pracował?	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
ZAWPBC_OG2	Klasyfikacja zawodów PBC (ogólna)	Klasyfikacja zawodów PBC (ogólna)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
ZAWPBC2	Klasyfikacja zawodów PBC (szczegółowa)	Klasyfikacja zawodów PBC (szczegółowa)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
ZAW_SOC_OG_1POZ	Klasyfikacja zawodów brytyjska SOC2010-UK (ogólna)	Klasyfikacja zawodów brytyjska SOC2010-UK (ogólna)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
ZAW_SOC_OG	Klasyfikacja zawodów brytyjska SOC2010-UK (szczegółowa)	Klasyfikacja zawodów brytyjska SOC2010-UK (szczegółowa - 2 poziomy)	Respondent	Respondent	0	0	0	0	0	0	0	0	0	0	0	dane metryczkowe	0
ZAW_AGEN	Wybrane zawody:  Agenci i pośrednicy w sprzedaży	Wybrane zawody:  Agenci i pośrednicy w sprzedaży	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_ARCH	Wybrane zawody:  Architekci i geodeci	Wybrane zawody:  Architekci i geodeci	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_EKON	Wybrane zawody:  Ekonomiści i specjaliści ds. zarządzania, biznesu	Wybrane zawody:  Ekonomiści i specjaliści ds. zarządzania, biznesu	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_FRYZ	Wybrane zawody:  Fryzjerzy, kosmetyczki	Wybrane zawody:  Fryzjerzy, kosmetyczki	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_GOR	Wybrane zawody:  Górnicy	Wybrane zawody:  Górnicy	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_INFOR	Wybrane zawody:  Informatycy, pracownicy obsługi komputerów	Wybrane zawody:  Informatycy, pracownicy obsługi komputerów	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_INZ	Wybrane zawody:  Inżynierowie	Wybrane zawody:  Inżynierowie	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_KAS	Wybrane zawody:  Kasjerzy, pracownicy obrotu pieniężnego	Wybrane zawody:  Kasjerzy, pracownicy obrotu pieniężnego	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_DRV	Wybrane zawody:  Kierowcy	Wybrane zawody:  Kierowcy	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_KSI	Wybrane zawody:  Księgowi i specjaliści ds. księgowych	Wybrane zawody:  Księgowi i specjaliści ds. księgowych	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_KUCH	Wybrane zawody:  Kucharze	Wybrane zawody:  Kucharze	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_MAG	Wybrane zawody:  Magazynierzy i planiści w produkcji	Wybrane zawody:  Magazynierzy i planiści w produkcji	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_MECH	Wybrane zawody:  Mechanicy samochodowi	Wybrane zawody:  Mechanicy samochodowi	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_NAU	Wybrane zawody:  Nauczyciele (bez akademickich)	Wybrane zawody:  Nauczyciele (bez akademickich)	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_AKED	Wybrane zawody:  Nauczyciele akademiccy i specjaliści w nauce	Wybrane zawody:  Nauczyciele akademiccy i specjaliści w nauce	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_OGR	Wybrane zawody:  Ogrodnicy	Wybrane zawody:  Ogrodnicy	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_PIEK	Wybrane zawody:  Piekarze, cukiernicy	Wybrane zawody:  Piekarze, cukiernicy	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_PRAW	Wybrane zawody:  Prawnicy	Wybrane zawody:  Prawnicy	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_SEK	Wybrane zawody:  Sekretarki	Wybrane zawody:  Sekretarki	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_SPRZED	Wybrane zawody:  Sprzedawcy	Wybrane zawody:  Sprzedawcy	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_TECHMED	Wybrane zawody:  Służba zdrowia - inni specjaliści i technicy	Wybrane zawody:  Służba zdrowia - inni specjaliści i technicy	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_LEK	Wybrane zawody:  Służba zdrowia - lekarze	Wybrane zawody:  Służba zdrowia - lekarze	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_PIEL	Wybrane zawody:  Służba zdrowia - pielęgniarki i położne	Wybrane zawody:  Służba zdrowia - pielęgniarki i położne	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_TECHBUD	Wybrane zawody:  Technicy w budownictwie, inspektorzy	Wybrane zawody:  Technicy w budownictwie, inspektorzy	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
ZAW_TECHPRZEM	Wybrane zawody:  Technicy w przemyśle	Wybrane zawody:  Technicy w przemyśle	Respondent/Wybrane zawody	Respondent/Wybrane zawody	0	0	0	0	0	binary	0	0	0	0	0	dane metryczkowe	nigdy_archiwum
