Nazwa zmiennej	wartość	Etykieta	etykieta	usemissing
WAVE	161	Styczeń 2008	Styczeń 2008	0,0
WAVE	162	Luty 2008	Luty 2008	0,0
WAVE	163	Marzec 2008	Marzec 2008	0,0
WAVE	164	Kwiecień 2008	Kwiecień 2008	0,0
WAVE	165	Maj 2008	Maj 2008	0,0
WAVE	166	Czerwiec 2008	Czerwiec 2008	0,0
WAVE	167	Lipiec 2008	Lipiec 2008	0,0
WAVE	168	Sierpień 2008	Sierpień 2008	0,0
WAVE	169	Wrzesień 2008	Wrzesień 2008	0,0
WAVE	170	Październik 2008	Październik 2008	0,0
WAVE	171	Listopad 2008	Listopad 2008	0,0
WAVE	172	Grudzień 2008	Grudzień 2008	0,0
WAVE	173	Styczeń 2009	Styczeń 2009	0,0
WAVE	174	Luty 2009	Luty 2009	0,0
WAVE	175	Marzec 2009	Marzec 2009	0,0
WAVE	176	Kwiecień 2009	Kwiecień 2009	0,0
WAVE	177	Maj 2009	Maj 2009	0,0
WAVE	178	Czerwiec 2009	Czerwiec 2009	0,0
WAVE	179	Lipiec 2009	Lipiec 2009	0,0
WAVE	180	Sierpień 2009	Sierpień 2009	0,0
WAVE	181	Wrzesień 2009	Wrzesień 2009	0,0
WAVE	182	Październik 2009	Październik 2009	0,0
WAVE	183	Listopad 2009	Listopad 2009	0,0
WAVE	184	Grudzień 2009	Grudzień 2009	0,0
WAVE	185	Styczeń 2010	Styczeń 2010	0,0
WAVE	186	Luty 2010	Luty 2010	0,0
WAVE	187	Marzec 2010	Marzec 2010	0,0
WAVE	188	Kwiecień 2010	Kwiecień 2010	0,0
WAVE	189	Maj 2010	Maj 2010	0,0
WAVE	190	Czerwiec 2010	Czerwiec 2010	0,0
WAVE	191	Lipiec 2010	Lipiec 2010	0,0
WAVE	192	Sierpień 2010	Sierpień 2010	0,0
WAVE	193	Wrzesień 2010	Wrzesień 2010	0,0
WAVE	194	Październik 2010	Październik 2010	0,0
